idwell,subphase,sum(subphase_total_days)
54023A25026948EE937426EF9CEED755,"Drill 28"" Hole Section (711mm)",2.72
46EEF60EB010439BBBD01541CAE71BB8,"Drill 17-1/2"" x 20"" Hole Section (444.5x508mm)",4.08
8766467DC774438D9AC41076EF4E2CDD,Rig Down & Move Out,0.54
D8702AE6429945528A70D4D55E5F0755,"Drill 28"" x 42"" Hole Section (711x1067mm)",1.2
671390DF21ED4FBCAFBD872F2F2A950C,"Drill 12-1/4"" Hole Section (311mm)",5.23
5B93D63F99F041CF975816077D909102,Pull BOP,0.78
7BAD924A0777472D9A50F4C01256A71A,"Run 13-5/8"" Casing / Tieback (346mm)",3.65
C76E0A95822C4FE69B439D79BC046367,Temporary Plug & Abandonment (TP&A),1.08
6F5B65035EA446E6A523B4112DA7CC18,Re-entry,1.84
A96AC5B5681C42E182815B2A03321EF7,"Drill 10-5/8"" x 12-1/4"" Hole Section (270x311mm)",8.38
BAC96EBE0F354878BF920E67BFA0742E,Run / Test BOP,3
27C70E0DB1164D29BA1F43D1C1A67AD4,"Drill 17-1/2"" Hole Section (444.5mm)",4.07
D9290A60CB6B47E4A86A579B6FDE01BC,Pull BOP,4.77
570E8D3E150A41109B1E19251B48BCE8,Pull BOP,0.77
448BA4A01930437CACB0F8C696A478EE,"Drill 12-1/4"" Hole Section (311mm)",11.4
3C6918BF24DC416F8747B40C3FADAC6D,"Drill 12-1/4"" Hole Section (311mm)",27.61
E950C97C6C9B4262A0A06E9222F1D750,Run / Test BOP,0.5
FF5A9E0299714949BB7113DE5A45FC58,"Drill 17-1/2"" Hole Section (444.5mm)",5.58
192DDAD7348544EB83E94E1AA39DF32B,Rig Down & Move Out,0.21
FB2897CC7A4D4161BC438AD052D71715,"Run 20"" Casing (508mm)",1.45
AA23FA8702F143CA832D65B410D20B01,"Jet 36"" Casing (914mm)",0.93
6BBC552DAD9D436F9CA85E67E61E2CD2,"Drill 8-1/2"" Hole Section (216mm)",6.29
052C9E72E57846CF9AA1A7999558FAB5,"Drill 28"" Hole Section (711mm)",1.95
C2D5DCF5F6B541518C42183715E63886,"Run 13-5/8"" Casing / Tieback (346mm)",1.64
46EEF60EB010439BBBD01541CAE71BB8,"Drill 12-1/4"" x 14-1/2"" Hole Section (311x368mm)",7.84
D8702AE6429945528A70D4D55E5F0755,Kill Well,4.66
3C6918BF24DC416F8747B40C3FADAC6D,Plugback,3.11
D1B10E9ADCBF4C08BE4E1FB44EDB85CD,Pull BOP,4.18
C2D5DCF5F6B541518C42183715E63886,"Jet 36"" Casing (914mm)",0.9
E86F16784BA24EC08E4E4DE62F1C84FE,"Drill 12-1/4"" Hole Section (311mm)",6.46
6B4DE087F910440F82F10C1F70DAE530,Fluid Displacement,3.73
5DD33CE64CFF4C439FB5DEF09184AA04,"Drill 12-1/4"" Hole Section (311mm)",6.19
F60B551E1EBF446493ADBBF7E06B276D,"Drill 17-1/2"" Hole Section (444.5mm)",3.67
91B05152008B4F92BDCB6C08E650CFE9,"Drill 12-1/4"" Hole Section (311mm)",7.78
15F41B08E003423C8A316032A7C9AE6A,Wait - Other,67
FB2897CC7A4D4161BC438AD052D71715,Run Upper Completion,5.6
D63CE93FCBDC425D9A818E91CD52E293,"Jet 36"" Casing (914mm)",0.31
1F7A02B6AF0A4D92A869D72C6922EC50,Temporary Plug & Abandonment (TP&A),2.1
979569BEB406477E9F499BCE0B1D476A,"Jet 36"" Casing (914mm)",1.15
E950C97C6C9B4262A0A06E9222F1D750,Well Clean Up,0.48
5DD33CE64CFF4C439FB5DEF09184AA04,Open Hole Logging,0.89
9C6CEE755C8742ADB7FC4A2D003F7648,"Drill 28"" Hole Section (711mm)",1.96
3ED9DE02F7864AFE90A8ECBCDB6EF93C,Move In & Rig Up,0.82
5B93D63F99F041CF975816077D909102,"Run 11-7/8"" Casing (302mm)",2.48
D9290A60CB6B47E4A86A579B6FDE01BC,"Drill 12-1/4"" Hole Section (311mm)",12.87
8388E7D9A9884BC28D724C4DEF9D148E,Cleanout Run,1.81
A1D51D5595D141D08D1DAA0D15EA4C09,Pull BOP,1.29
67C1FDE7B2B4483E87B7EA005353C6BA,Run Lower Completion,4.14
192DDAD7348544EB83E94E1AA39DF32B,Pull BOP,0.9
754271E79F2D47E2A6A13FDBA918D5D6,Run Lower Completion,5.64
754BC09DDD534651BDA54E4AE2004B72,"Run 13-5/8"" Casing / Tieback (346mm)",2.99
D0FB223DC2DB4C91815E9FBB821804E6,"Drill 26"" Hole Section (660mm)",1.29
5B93D63F99F041CF975816077D909102,"Drill 12-1/4"" Hole Section (311mm)",37.17
055FD8E6091E4FEC8A90CDEA84E0BED2,"Drill 17-1/2"" Hole Section (444.5mm)",4.65
BAC96EBE0F354878BF920E67BFA0742E,"Drill 28"" Hole Section (711mm)",2.42
313023AD8D9E4A67AABAA94A3B566B06,Temporary Plug & Abandonment (TP&A),1.83
F6AED6C0516140FCBBE6C758CEAC677F,"Run 22"" Casing (559mm)",0.9
9C6CEE755C8742ADB7FC4A2D003F7648,Cleanout Run,null
B440090E6BEF485CB1FF88B13EF1DA2F,Move In & Rig Up,1.29
377C18FDAFD84A608780509E3631907B,"Jet 36"" Casing (914mm)",0.6
0DB5B5A443804DD5927B8B232DA6F1E7,"Run 9-7/8"" Casing (251mm)",2.14
14E041CC0847479B9B0D9A4C6F306814,"Run 13-3/8"" Casing (340mm)",1.19
C083D8787D6545CEA0C45BCD28B6995D,Move In & Rig Up,1.95
C083D8787D6545CEA0C45BCD28B6995D,"Run 13-5/8"" Casing / Tieback (346mm)",1.6
FB2897CC7A4D4161BC438AD052D71715,Run / Test BOP,0.2
754271E79F2D47E2A6A13FDBA918D5D6,Kill Well,2.82
BAC96EBE0F354878BF920E67BFA0742E,"Drill 12-1/4"" Hole Section (311mm)",26.72
01A04F50735A480BAE5E1063A930E7E4,"Drill 17-1/2"" Hole Section (444.5mm)",3.35
FA9EAE3C713E477892722D1028963F22,"Drill 18-1/8"" x 19"" Hole Section (460x483mm)",3.65
46EEF60EB010439BBBD01541CAE71BB8,"Drill 28"" Hole Section (711mm)",3.28
3353742D96D54521BE96EED15BEA548E,"Drill 17-1/2"" Hole Section (444.5mm)",2.54
076CAB20EF3E461AB8F3EFCE4912ED9D,Move In & Rig Up,0.13
8388E7D9A9884BC28D724C4DEF9D148E,"Drill 17-1/2"" Hole Section (444.5mm)",4.68
8766467DC774438D9AC41076EF4E2CDD,"Drill 12-1/4"" Hole Section (311mm)",7.81
D1AC8790A3AD4CB9896F774EB0B25888,Move In & Rig Up,6.19
17F18171D4844302ADA168C723ECDF4F,"Run 13-3/8"" Casing (340mm)",2.44
DCADAAC3B0E54E66BA63DF6A3191C2B5,"Run 20"" Casing (508mm)",2.17
B972758C036E4230A1B96DC034B8B094,Move In & Rig Up,3.13
2E3FCD94C0F84227A363DBAB76367D17,Move In & Rig Up,2.25
2E3FCD94C0F84227A363DBAB76367D17,Run Upper Completion,6.88
91B05152008B4F92BDCB6C08E650CFE9,"Drill 28"" Hole Section (711mm)",3.17
0F41F5BB467844D6BEE17EDD3438AF05,Run / Test BOP,3.46
AA23FA8702F143CA832D65B410D20B01,"Run 13-5/8"" Casing / Tieback (346mm)",1.4
6BBC552DAD9D436F9CA85E67E61E2CD2,"Drill 28"" Hole Section (711mm)",2.52
FB2897CC7A4D4161BC438AD052D71715,Well Clean Up,3
754BC09DDD534651BDA54E4AE2004B72,"Drill 28"" Hole Section (711mm)",3.34
9EB6D41C69B946B2B3B9D738662D7646,"Drill 17-1/2"" Hole Section (444.5mm)",4.75
B972758C036E4230A1B96DC034B8B094,"Drill 12-1/4"" Hole Section (311mm)",14.92
1705C7BB85B1436F8B46C50009FD040E,Move In & Rig Up,0.46
BAC96EBE0F354878BF920E67BFA0742E,"Jet 36"" Casing (914mm)",0.78
3ED9DE02F7864AFE90A8ECBCDB6EF93C,"Drill 8-1/2"" x 9-1/2"" Hole Section (216x241mm)",6.02
BA9D8F61AF0E477794A8EEC4C3C1F1D7,Fluid Displacement,2.09
1F7A02B6AF0A4D92A869D72C6922EC50,"Jet 36"" Casing (914mm)",0.29
F99E3C43EA4C44639A3785ED21F0CE05,Run Upper Completion,5.15
192DDAD7348544EB83E94E1AA39DF32B,"Drill 12-1/4"" Hole Section (311mm)",5.29
4AB956891F3E45DAB2ADDF0625B417A6,"Run 9-5/8"" x 10-3/4"" Casing (244.5x273mm)",1.81
ACEEF6A1543742C5B6F7CE0A73A81F59,Run Lower Completion,2.33
A3E87A9132C04B26AF6B28A541929A59,Run Upper Completion,18.46
98837B6835314A89AAB2402BCF913D36,Move In & Rig Up,4.84
F60B551E1EBF446493ADBBF7E06B276D,Move In & Rig Up,1.63
E79002718FBB47EC8A8F3ED3C7C80AA4,Move In & Rig Up,1.63
3C6918BF24DC416F8747B40C3FADAC6D,"Drill 17-1/2"" Hole Section (444.5mm)",7.93
A1D51D5595D141D08D1DAA0D15EA4C09,"Run 13-3/8"" Casing (340mm)",2.67
BAA7B0A7E65B44E8AA2BC58D45F45725,Temporary Plug & Abandonment (TP&A),4.68
54023A25026948EE937426EF9CEED755,Pull BOP,2.21
A74B93C78CAE42E998A3AE559AA0F432,"Drill 12-1/4"" Hole Section (311mm)",8.08
A52809D11C2A469D8FBC9211A3101975,"Jet 36"" Casing (914mm)",0.25
C083D8787D6545CEA0C45BCD28B6995D,Run Lower Completion,1.96
D9290A60CB6B47E4A86A579B6FDE01BC,Temporary Plug & Abandonment (TP&A),11.05
8388E7D9A9884BC28D724C4DEF9D148E,Well Clean Up,6.17
570E8D3E150A41109B1E19251B48BCE8,Run Lower Completion,6.74
81CEC78DC98E4FB498D5F240B2368F3E,Open Hole Logging,5.52
D63CE93FCBDC425D9A818E91CD52E293,Plugback,3.13
2EB98A75BA294750AAD9E7F2956ED965,"Drill 17-1/2"" Hole Section (444.5mm)",4.95
67C1FDE7B2B4483E87B7EA005353C6BA,Run / Test BOP,4.3
C083D8787D6545CEA0C45BCD28B6995D,"Drill 28"" Hole Section (711mm)",1.75
91B05152008B4F92BDCB6C08E650CFE9,Run / Test BOP,9.71
E86F16784BA24EC08E4E4DE62F1C84FE,"Drill 28"" Hole Section (711mm)",1.67
3C6918BF24DC416F8747B40C3FADAC6D,Lower P&A,0.93
052C9E72E57846CF9AA1A7999558FAB5,Temporary Plug & Abandonment (TP&A),1.66
659D58B29AD348D68E4B506B8A12BA3E,Wiper Trip,1.98
5E07616CA6644593A67C548910E4F255,Open Hole Logging,16.58
2EB98A75BA294750AAD9E7F2956ED965,Pull BOP,2.52
8DE4516EEF9C4249B231AC1054CAE57A,"Drill 12-1/4"" Hole Section (311mm)",5.46
6470F14EEDBB4F81B5DA6EFA8696A5A2,Run / Test BOP,10.81
F274D9274D6D48BB96115E48151A352F,Run Upper Completion,4.34
14E041CC0847479B9B0D9A4C6F306814,Run / Test BOP,1.52
3CD6C7B1F8534AE489C0D91C0B037CCE,Run / Test BOP,6.82
175BA5DBC475495FBEA7060439C5B660,Lower P&A,5.72
3C6918BF24DC416F8747B40C3FADAC6D,Move In & Rig Up,0.56
052C9E72E57846CF9AA1A7999558FAB5,Run Upper Completion,3.55
AE8222E964BF4261BE13A9F9431A87B2,"Jet 36"" Casing (914mm)",0.65
E36B920A7DEB4B2D96D9287AC9595E17,"Run 20"" Casing (508mm)",0.85
44F56447FA9C47F8AF518490FB599C70,Run Lower Completion,5.5
A3E87A9132C04B26AF6B28A541929A59,"Run 13-3/8"" Casing (340mm)",6.23
A06CA05414814A3E84C73BC4EE31EFCF,Re-entry,1.42
3ED9DE02F7864AFE90A8ECBCDB6EF93C,"Run 13-3/8"" Casing (340mm)",4.69
46EEF60EB010439BBBD01541CAE71BB8,"Jet 36"" Casing (914mm)",4.9
77E60965509A4C0A8D8D06CE60B89470,"Run 20"" Casing (508mm)",1.02
E36B920A7DEB4B2D96D9287AC9595E17,Re-entry,1.94
1C6899B4790F49CFBD844BBFFC958D16,Run Lower Completion,6.7
592D8A3FC4044A9ABEE730554560EAE0,"Jet 36"" Casing (914mm)",1.14
2A417E2776114AD396F75F0343DB9FBC,Well Clean Up,2.19
448BA4A01930437CACB0F8C696A478EE,"Jet 36"" Casing (914mm)",0.23
1C6899B4790F49CFBD844BBFFC958D16,"Drill 8-1/2"" x 9-1/2"" Hole Section (216x241mm)",5.34
B4672CA1121F476E8EADCB335E7A01C3,"Drill 12-1/4"" Hole Section (311mm)",18.08
0F41F5BB467844D6BEE17EDD3438AF05,Move In & Rig Up,2.59
052C9E72E57846CF9AA1A7999558FAB5,Run / Test BOP,4.58
C5D4F6A03FFC41D79F999AA5A1247C35,"Jet 36"" Casing (914mm)",1.33
313023AD8D9E4A67AABAA94A3B566B06,Plugback,1.56
3ED9DE02F7864AFE90A8ECBCDB6EF93C,"Drill 17-1/2"" Hole Section (444.5mm)",4.85
17F18171D4844302ADA168C723ECDF4F,Move In & Rig Up,9.36
9C6CEE755C8742ADB7FC4A2D003F7648,"Run 13-5/8"" Casing / Tieback (346mm)",1.5
67C1FDE7B2B4483E87B7EA005353C6BA,Kill Well,2.65
CA120329AD6044F6A4A0BCE932258794,"Run 13-5/8"" Casing / Tieback (346mm)",5.51
6B4DE087F910440F82F10C1F70DAE530,"Run 13-3/8"" Casing (340mm)",1.85
7E67BA30CAE942C7A3DE18A4C98C52C3,"Jet 36"" Casing (914mm)",0.6
B6751215EAA9409C98FA097523A21668,"Drill 28"" Hole Section (711mm)",5.39
ACEEF6A1543742C5B6F7CE0A73A81F59,"Jet 36"" Casing (914mm)",1.02
4E3325C8D54540018590B97F82FD4A2C,Pull BOP,8.17
BAC96EBE0F354878BF920E67BFA0742E,Fluid Displacement,31.51
7BAD924A0777472D9A50F4C01256A71A,"Run 9-5/8"" Liner (244.5mm)",3.17
77E60965509A4C0A8D8D06CE60B89470,"Run 11-7/8"" Liner (302mm)",null
0F41F5BB467844D6BEE17EDD3438AF05,"Run 13-5/8"" Casing / Tieback (346mm)",3.22
5E07616CA6644593A67C548910E4F255,"Run 22"" Casing (559mm)",1.27
6B4DE087F910440F82F10C1F70DAE530,"Jet 36"" Casing (914mm)",0.83
510684F5A97743FEA62630B7849D2CE9,Re-entry,2.17
E79002718FBB47EC8A8F3ED3C7C80AA4,Run Lower Completion,8.5
E950C97C6C9B4262A0A06E9222F1D750,"Run 9-5/8"" x 10-3/4"" Casing (244.5x273mm)",2.1
8388E7D9A9884BC28D724C4DEF9D148E,Workover,10
D8702AE6429945528A70D4D55E5F0755,"Run 36"" Casing (914mm)",1.21
C417278645714F82A1BEAE184D80EAEF,"Jet 36"" Casing (914mm)",0.56
17F18171D4844302ADA168C723ECDF4F,"Run 9-5/8"" x 10-3/4"" Casing (244.5x273mm)",1.73
768A75E188C948268079F3BFBEAA5BFC,"Run 20"" Casing (508mm)",5
ABFE27C3D5F84A7DB9A7D91A9B128DDF,Cleanout Run,1.79
754271E79F2D47E2A6A13FDBA918D5D6,"Jet 36"" Casing (914mm)",1.01
2E3FCD94C0F84227A363DBAB76367D17,"Run 13-3/8"" Casing (340mm)",1.88
BAA7B0A7E65B44E8AA2BC58D45F45725,"Drill 12-1/4"" Hole Section (311mm)",8.36
1F12DA3A3DF54B2094592A804A8F12B6,"Run 22"" Casing (559mm)",0.71
D57CA0C65A2C4A7FB26AD29FC5D658AC,"Run 13-5/8"" Casing / Tieback (346mm)",1.81
5DD33CE64CFF4C439FB5DEF09184AA04,Move In & Rig Up,5.31
671390DF21ED4FBCAFBD872F2F2A950C,Temporary Plug & Abandonment (TP&A),1.5
7E83259C5BA34DCE895A2D9501AC967A,Run Upper Completion,10.25
0F41F5BB467844D6BEE17EDD3438AF05,Plugback,2.45
4AB956891F3E45DAB2ADDF0625B417A6,"Run 13-3/8"" Casing (340mm)",1.66
1705C7BB85B1436F8B46C50009FD040E,Re-entry,1.23
C5D4F6A03FFC41D79F999AA5A1247C35,"Drill 12-1/4"" Hole Section (311mm)",10.54
DCADAAC3B0E54E66BA63DF6A3191C2B5,Run / Test BOP,1.2
C77BA018CA00489A91C06309C6840C2C,Fluid Displacement,8.51
332C687CE7564366AF3F2F5DA1883602,Pull BOP,0.44
2A417E2776114AD396F75F0343DB9FBC,"Run 20"" Casing (508mm)",1.05
2A417E2776114AD396F75F0343DB9FBC,Temporary Plug & Abandonment (TP&A),9.52
C083D8787D6545CEA0C45BCD28B6995D,"Jet 36"" Casing (914mm)",1.09
AE8222E964BF4261BE13A9F9431A87B2,"Drill 8-1/2"" Hole Section (216mm)",11.84
77E60965509A4C0A8D8D06CE60B89470,"Drill 8-1/2"" Hole Section (216mm)",7.4
2FF9338FEEBC45C5A6DF5D2F2970E6BD,"Drill 12-1/4"" Hole Section (311mm)",7.22
570E8D3E150A41109B1E19251B48BCE8,"Run 13-3/8"" Casing (340mm)",4.6
9C6CEE755C8742ADB7FC4A2D003F7648,Run Lower Completion,7.06
1BABE01738DD4EF7AD1FD9A369AA9190,"Run 20"" Casing (508mm)",0.81
1F12DA3A3DF54B2094592A804A8F12B6,Fluid Displacement,11.22
048BBD33673549AA87A1606D5C9506D0,"Run 13-5/8"" Casing / Tieback (346mm)",1.35
67C1FDE7B2B4483E87B7EA005353C6BA,Fluid Displacement,6.76
D1AC8790A3AD4CB9896F774EB0B25888,Pull BOP,1.57
3C9D3FBE5854422EBDC0BBBA9A543DBB,"Drill 28"" Hole Section (711mm)",2.22
F0C1AEB57DEC4AFFAA75A87DB3CE3B54,"Jet 36"" Casing (914mm)",0.73
54023A25026948EE937426EF9CEED755,"Drill 12-1/4"" Hole Section (311mm)",4.93
5E07616CA6644593A67C548910E4F255,Lower P&A,4.38
570E8D3E150A41109B1E19251B48BCE8,Sidetrack (whipstock),null
17F18171D4844302ADA168C723ECDF4F,"Drill 28"" Hole Section (711mm)",1.63
592D8A3FC4044A9ABEE730554560EAE0,Run Lower Completion,4.38
F224034A354A421EAA351918E67E8A2E,Run Upper Completion,5.15
4E3325C8D54540018590B97F82FD4A2C,Well Test,10.15
9C6CEE755C8742ADB7FC4A2D003F7648,"Drill 12-1/4"" Hole Section (311mm)",8.5
96CFFB4877B843B79E105E7816AAC293,12-1/4'' Open Hole Logging,null
D57CA0C65A2C4A7FB26AD29FC5D658AC,Open Hole Logging,7.11
AE8222E964BF4261BE13A9F9431A87B2,Re-entry,1.06
B972758C036E4230A1B96DC034B8B094,Open Hole Logging,4.15
AA3D5BC92DFE47D7A6C4ABDF93794AA8,Rig / BOP Maintenance,12.65
1E0179E39C45410D99449F843ACB9B59,"Jet 36"" Casing (914mm)",0.75
4AB956891F3E45DAB2ADDF0625B417A6,Temporary Plug & Abandonment (TP&A),2.85
14E041CC0847479B9B0D9A4C6F306814,Run Lower Completion,7.58
44F56447FA9C47F8AF518490FB599C70,"Jet 36"" Casing (914mm)",1.48
052C9E72E57846CF9AA1A7999558FAB5,"Drill 8-1/2"" Hole Section (216mm)",6.18
27C70E0DB1164D29BA1F43D1C1A67AD4,Pull BOP,1.54
570E8D3E150A41109B1E19251B48BCE8,Temporary Plug & Abandonment (TP&A),4.48
592D8A3FC4044A9ABEE730554560EAE0,"Drill 28"" Hole Section (711mm)",1.69
175BA5DBC475495FBEA7060439C5B660,Pull BOP,1.2
8DE4516EEF9C4249B231AC1054CAE57A,"Drill 28"" Hole Section (711mm)",1.88
48233888832147E5815F36A5378D30AE,"Drill 28"" Hole Section (711mm)",2.95
FF5A9E0299714949BB7113DE5A45FC58,"Drill 10-5/8"" x 12-1/4"" Hole Section (270x311mm)",null
E79002718FBB47EC8A8F3ED3C7C80AA4,Re-entry,1.23
0643520408164C0BAC017A4FD2AB4C4D,Run Upper Completion,9.45
81CEC78DC98E4FB498D5F240B2368F3E,Coring,7.4
C083D8787D6545CEA0C45BCD28B6995D,"Run 9-7/8"" Liner (251mm)",2.26
B4672CA1121F476E8EADCB335E7A01C3,"Run 20"" Casing (508mm)",2.67
3CD6C7B1F8534AE489C0D91C0B037CCE,Lower P&A,5.38
61418BB6CEB248E29AC01F6F6BE82AB4,"Drill 28"" Hole Section (711mm)",1.74
8388E7D9A9884BC28D724C4DEF9D148E,Temporary Plug & Abandonment (TP&A),4.56
9C6CEE755C8742ADB7FC4A2D003F7648,"Jet 36"" Casing (914mm)",1.04
D9290A60CB6B47E4A86A579B6FDE01BC,"Drill 17"" Hole Section (432mm)",2.32
BA9D8F61AF0E477794A8EEC4C3C1F1D7,Run Lower Completion,2.27
9EB6D41C69B946B2B3B9D738662D7646,"Run 13-3/8"" Casing (340mm)",1.63
77E60965509A4C0A8D8D06CE60B89470,"Drill 12-1/4"" Hole Section (311mm)",null
448BA4A01930437CACB0F8C696A478EE,Move In & Rig Up,3.59
AC727F2B33D54DC39CD6C60F4609326B,"Drill 28"" Hole Section (711mm)",1.1
313023AD8D9E4A67AABAA94A3B566B06,Run Lower Completion,2.32
F274D9274D6D48BB96115E48151A352F,Kill Well,3.83
BA9D8F61AF0E477794A8EEC4C3C1F1D7,Re-entry,0.59
052C9E72E57846CF9AA1A7999558FAB5,Re-entry,2.07
D57CA0C65A2C4A7FB26AD29FC5D658AC,"Run 22"" Casing (559mm)",3.83
0643520408164C0BAC017A4FD2AB4C4D,"Jet 36"" Casing (914mm)",0.67
F274D9274D6D48BB96115E48151A352F,"Run 22"" Casing (559mm)",1.88
37849EEF65EF455DB9026D647C1B4800,"Drill 12-1/4"" Hole Section (311mm)",5.98
C76E0A95822C4FE69B439D79BC046367,"Run 13-5/8"" Casing / Tieback (346mm)",1.24
313023AD8D9E4A67AABAA94A3B566B06,Move In & Rig Up,3.86
98837B6835314A89AAB2402BCF913D36,"Run 20"" Casing (508mm)",0.77
C76E0A95822C4FE69B439D79BC046367,"Drill 28"" Hole Section (711mm)",2.19
D1AC8790A3AD4CB9896F774EB0B25888,"Drill 17-1/2"" Hole Section (444.5mm)",3.48
313023AD8D9E4A67AABAA94A3B566B06,"Drill 17-1/2"" Hole Section (444.5mm)",4.95
052C9E72E57846CF9AA1A7999558FAB5,"Run 20"" Casing (508mm)",1.99
1F7A02B6AF0A4D92A869D72C6922EC50,"Run 9-5/8"" x 10-3/4"" Casing (244.5x273mm)",5.21
406DA18387B74ACEB6846E87BA48B6D6,"Drill 26"" Hole Section (660mm)",1.9
B972758C036E4230A1B96DC034B8B094,"Drill 17-1/2"" Hole Section (444.5mm)",4.38
510684F5A97743FEA62630B7849D2CE9,Run / Test BOP,4.04
7E83259C5BA34DCE895A2D9501AC967A,"Drill 28"" Hole Section (711mm)",1.81
14E041CC0847479B9B0D9A4C6F306814,"Drill 17-1/2"" Hole Section (444.5mm)",2.92
FF5A9E0299714949BB7113DE5A45FC58,"Drill 11"" Hole Section (279mm)",null
3C6918BF24DC416F8747B40C3FADAC6D,Fluid Displacement,null
8388E7D9A9884BC28D724C4DEF9D148E,Run Lower Completion,2.6
F99E3C43EA4C44639A3785ED21F0CE05,"Drill 28"" Hole Section (711mm)",2.11
BAA7B0A7E65B44E8AA2BC58D45F45725,Open Hole Logging,5.66
3C6918BF24DC416F8747B40C3FADAC6D,"Run 9-7/8"" Liner (251mm)",4.58
ABFE27C3D5F84A7DB9A7D91A9B128DDF,"Run 13-5/8"" Casing / Tieback (346mm)",2.19
FA9EAE3C713E477892722D1028963F22,"Run 13-5/8"" Casing / Tieback (346mm)",6.48
6470F14EEDBB4F81B5DA6EFA8696A5A2,Plugback,5.55
CA120329AD6044F6A4A0BCE932258794,"Drill 12-1/4"" Hole Section (311mm)",9.5
05E3D57291A54C518D4DCA84D752B455,Run Upper Completion,4.56
5BEEF1D9EFA7406CA03D23FB1BA2441E,Run / Test BOP,13.67
3E1FCFD5C8884B2E8CD7089DAD3CC779,"Drill 12-1/4"" Hole Section (311mm)",18.16
4AB956891F3E45DAB2ADDF0625B417A6,Run Lower Completion,4.4
D656C01E121E4E858D3984E2E069BAEA,"Drill 12-1/4"" Hole Section (311mm)",16.73
659D58B29AD348D68E4B506B8A12BA3E,Pull BOP,3.48
05E3D57291A54C518D4DCA84D752B455,Run / Test BOP,2.35
1C6899B4790F49CFBD844BBFFC958D16,Run / Test BOP,10.15
BAC96EBE0F354878BF920E67BFA0742E,Well Test,17.75
1C6899B4790F49CFBD844BBFFC958D16,Re-entry,1.71
1F12DA3A3DF54B2094592A804A8F12B6,"Jet 36"" Casing (914mm)",1.38
D1B10E9ADCBF4C08BE4E1FB44EDB85CD,"Drill 17-1/2"" Hole Section (444.5mm)",2.63
8388E7D9A9884BC28D724C4DEF9D148E,"Run 20"" Casing (508mm)",1.35
1F7A02B6AF0A4D92A869D72C6922EC50,"Drill 28"" Hole Section (711mm)",1.5
5DD33CE64CFF4C439FB5DEF09184AA04,"Drill 28"" Hole Section (711mm)",1.27
C083D8787D6545CEA0C45BCD28B6995D,Kill Well,2.34
F99E3C43EA4C44639A3785ED21F0CE05,Re-entry,1.13
4E3325C8D54540018590B97F82FD4A2C,"Drill 17-1/2"" Hole Section (444.5mm)",4.6
67C1FDE7B2B4483E87B7EA005353C6BA,"Run 13-5/8"" Casing / Tieback (346mm)",2.69
F224034A354A421EAA351918E67E8A2E,"Drill 8-1/2"" Hole Section (216mm)",23.79
BAA7B0A7E65B44E8AA2BC58D45F45725,"Drill 17-1/2"" Hole Section (444.5mm)",5.52
01A04F50735A480BAE5E1063A930E7E4,"Run 20"" Casing (508mm)",0.93
5B93D63F99F041CF975816077D909102,Move In & Rig Up,2.07
D8702AE6429945528A70D4D55E5F0755,Run / Test BOP,13.77
175BA5DBC475495FBEA7060439C5B660,"Run 13-5/8"" Casing / Tieback (346mm)",1.52
37849EEF65EF455DB9026D647C1B4800,Retrieve Packer,0.75
FA9EAE3C713E477892722D1028963F22,"Run 38"" Casing (965mm)",2.48
F0C1AEB57DEC4AFFAA75A87DB3CE3B54,Rig Down & Move Out,0.1
AC727F2B33D54DC39CD6C60F4609326B,Run Upper Completion,4.04
377C18FDAFD84A608780509E3631907B,Move In & Rig Up,17.87
05E3D57291A54C518D4DCA84D752B455,"Drill 28"" Hole Section (711mm)",1.67
510684F5A97743FEA62630B7849D2CE9,"Run 13-3/8"" Casing (340mm)",1.79
A52809D11C2A469D8FBC9211A3101975,Move In & Rig Up,4.27
7BAD924A0777472D9A50F4C01256A71A,"Drill 28"" Hole Section (711mm)",2.64
01A04F50735A480BAE5E1063A930E7E4,Run / Test BOP,2.71
2FF9338FEEBC45C5A6DF5D2F2970E6BD,"Drill 28"" Hole Section (711mm)",1.71
768A75E188C948268079F3BFBEAA5BFC,Wait - Other,6.21
F6AED6C0516140FCBBE6C758CEAC677F,"Drill 14-1/2"" x 17"" Hole Section (368x432mm)",9.18
0E815F5CF7F84574BFC22E59D0C3CD4C,"Jet 36"" Casing (914mm)",1.15
5E07616CA6644593A67C548910E4F255,"Drill 28"" Hole Section (711mm)",2.17
D8702AE6429945528A70D4D55E5F0755,Pull BOP,6.26
F274D9274D6D48BB96115E48151A352F,Run Lower Completion,5.48
7BAD924A0777472D9A50F4C01256A71A,Run / Test BOP,4.22
F60B551E1EBF446493ADBBF7E06B276D,Rig Down & Move Out,0.04
DCADAAC3B0E54E66BA63DF6A3191C2B5,"Run 9-5/8"" x 10-3/4"" Casing (244.5x273mm)",1.66
671390DF21ED4FBCAFBD872F2F2A950C,"Run 9-5/8"" x 10-3/4"" Casing (244.5x273mm)",1.52
671390DF21ED4FBCAFBD872F2F2A950C,"Jet 36"" Casing (914mm)",0.31
DCADAAC3B0E54E66BA63DF6A3191C2B5,"Run 13-3/8"" Casing (340mm)",1.67
5B93D63F99F041CF975816077D909102,"Run 16"" Liner (406mm)",2.24
754BC09DDD534651BDA54E4AE2004B72,"Jet 36"" Casing (914mm)",0.27
