idwell,subphase,sum(subphase_total_days)
BAA7B0A7E65B44E8AA2BC58D45F45725,"Jet 36"" Casing (914mm)",1.64
15F41B08E003423C8A316032A7C9AE6A,"Drill 28"" Hole Section (711mm)",1.57
4831DF59593A47E6BB833F9474EF4A2E,"Run 20"" Casing (508mm)",1.33
E86F16784BA24EC08E4E4DE62F1C84FE,"Drill 17-1/2"" Hole Section (444.5mm)",3.4
91B05152008B4F92BDCB6C08E650CFE9,Move In & Rig Up,2.9
055FD8E6091E4FEC8A90CDEA84E0BED2,Temporary Plug & Abandonment (TP&A),3.29
768A75E188C948268079F3BFBEAA5BFC,Wireline,8.17
46EEF60EB010439BBBD01541CAE71BB8,Run / Test BOP,8.63
46EEF60EB010439BBBD01541CAE71BB8,Lower P&A,8.67
DCADAAC3B0E54E66BA63DF6A3191C2B5,Rig Down & Move Out,1.61
14E041CC0847479B9B0D9A4C6F306814,"Drill 8-1/2"" Hole Section (216mm)",17.1
6F5B65035EA446E6A523B4112DA7CC18,"Drill 12-1/4"" Hole Section (311mm)",4.69
FA9EAE3C713E477892722D1028963F22,"Run 16"" Liner (406mm)",2.25
46EEF60EB010439BBBD01541CAE71BB8,"Drill 10-5/8"" x 12-1/4"" Hole Section (270x311mm)",20.9
048BBD33673549AA87A1606D5C9506D0,"Drill 17-1/2"" Hole Section (444.5mm)",4.21
754BC09DDD534651BDA54E4AE2004B72,"Run 9-7/8"" Liner (251mm)",3.82
0F286F8CB5074CF1B48E80F800A66A69,"Drill 28"" Hole Section (711mm)",1.52
77E60965509A4C0A8D8D06CE60B89470,"Drill 17-1/2"" Hole Section (444.5mm)",13.06
E36B920A7DEB4B2D96D9287AC9595E17,Run Upper Completion,3.77
BA9D8F61AF0E477794A8EEC4C3C1F1D7,Open Hole Logging,6.02
ACEEF6A1543742C5B6F7CE0A73A81F59,Run / Test BOP,8.45
D1AC8790A3AD4CB9896F774EB0B25888,Rig Down & Move Out,6.08
754271E79F2D47E2A6A13FDBA918D5D6,Coring,4.31
671390DF21ED4FBCAFBD872F2F2A950C,Pull BOP,1.04
F60B551E1EBF446493ADBBF7E06B276D,Run / Test BOP,2.48
ACEEF6A1543742C5B6F7CE0A73A81F59,Re-entry,0.57
3CD6C7B1F8534AE489C0D91C0B037CCE,Move In & Rig Up,2.4
A06CA05414814A3E84C73BC4EE31EFCF,"Run 13-3/8"" Casing (340mm)",1.77
96CFFB4877B843B79E105E7816AAC293,Lower P&A,5.84
5BEEF1D9EFA7406CA03D23FB1BA2441E,"Drill 28"" Hole Section (711mm)",1.74
5E07616CA6644593A67C548910E4F255,"Run 13-5/8"" Casing / Tieback (346mm)",4.26
2FF9338FEEBC45C5A6DF5D2F2970E6BD,"Jet 36"" Casing (914mm)",0.48
175BA5DBC475495FBEA7060439C5B660,Run / Test BOP,16.94
6B4DE087F910440F82F10C1F70DAE530,"Drill 28"" Hole Section (711mm)",1.71
7BAD924A0777472D9A50F4C01256A71A,Open Hole Logging,12.49
1F12DA3A3DF54B2094592A804A8F12B6,Lower P&A,2.78
96CFFB4877B843B79E105E7816AAC293,"Jet 36"" Casing (914mm)",0.9
A96AC5B5681C42E182815B2A03321EF7,"Run 14"" Casing (356mm)",5.17
67C1FDE7B2B4483E87B7EA005353C6BA,Pull BOP,4.7
61418BB6CEB248E29AC01F6F6BE82AB4,"Drill 8-1/2"" x 9-1/2"" Hole Section (216x241mm)",6.5
BA9D8F61AF0E477794A8EEC4C3C1F1D7,"Drill 17"" Hole Section (432mm)",2.04
979569BEB406477E9F499BCE0B1D476A,"Drill 28"" Hole Section (711mm)",2.28
AC727F2B33D54DC39CD6C60F4609326B,Coring,8.94
54023A25026948EE937426EF9CEED755,"Run 9-5/8"" Liner (244.5mm)",null
3353742D96D54521BE96EED15BEA548E,"Jet 36"" Casing (914mm)",0.69
12FF4C6C40C4446C84BF59EF1AED9772,Well Clean Up,1.92
CA120329AD6044F6A4A0BCE932258794,Move In & Rig Up,11.88
768A75E188C948268079F3BFBEAA5BFC,Re-entry,3.01
1F7A02B6AF0A4D92A869D72C6922EC50,Run / Test BOP,3.27
4AB956891F3E45DAB2ADDF0625B417A6,Run Upper Completion,3.9
1C6899B4790F49CFBD844BBFFC958D16,"Run 9-5/8"" x 10-3/4"" Casing (244.5x273mm)",1.77
E86F16784BA24EC08E4E4DE62F1C84FE,Temporary Plug & Abandonment (TP&A),1.9
B6751215EAA9409C98FA097523A21668,"Run 22"" Casing (559mm)",1.73
F224034A354A421EAA351918E67E8A2E,"Drill 17-1/2"" Hole Section (444.5mm)",9
1BABE01738DD4EF7AD1FD9A369AA9190,"Jet 36"" Casing (914mm)",0.27
46EEF60EB010439BBBD01541CAE71BB8,Open Hole Logging,8.83
1E0179E39C45410D99449F843ACB9B59,Move In & Rig Up,12.36
9EB6D41C69B946B2B3B9D738662D7646,Fluid Displacement,4.82
96CFFB4877B843B79E105E7816AAC293,Move In & Rig Up,0.97
5E07616CA6644593A67C548910E4F255,Re-entry,5.66
AC727F2B33D54DC39CD6C60F4609326B,Run Lower Completion,4.59
D656C01E121E4E858D3984E2E069BAEA,Temporary Plug & Abandonment (TP&A),1.54
ACEEF6A1543742C5B6F7CE0A73A81F59,Coring,2.64
F99E3C43EA4C44639A3785ED21F0CE05,Run / Test BOP,1.67
406DA18387B74ACEB6846E87BA48B6D6,"Jet 36"" Casing (914mm)",0.98
14E041CC0847479B9B0D9A4C6F306814,"Run 9-7/8"" x 10-3/4"" Casing (251x273mm)",1.88
A96AC5B5681C42E182815B2A03321EF7,"Drill 28"" Hole Section (711mm)",2.31
192DDAD7348544EB83E94E1AA39DF32B,Temporary Plug & Abandonment (TP&A),1.16
9C6CEE755C8742ADB7FC4A2D003F7648,"Run 20"" Casing (508mm)",1
ABFE27C3D5F84A7DB9A7D91A9B128DDF,Open Hole Logging,3.73
77E60965509A4C0A8D8D06CE60B89470,Cleanout Run,1.6
0DB5B5A443804DD5927B8B232DA6F1E7,Fluid Displacement,1.98
B6751215EAA9409C98FA097523A21668,Move In & Rig Up,1.3
48233888832147E5815F36A5378D30AE,"Run 22"" Casing (559mm)",1.53
73BF435F6C564EC390725FAF4F50D3E3,Temporary Plug & Abandonment (TP&A),1.88
659D58B29AD348D68E4B506B8A12BA3E,"Run 9-7/8"" Liner (251mm)",null
3C6918BF24DC416F8747B40C3FADAC6D,Open Hole Logging,19.99
01A04F50735A480BAE5E1063A930E7E4,"Jet 36"" Casing (914mm)",0.69
BAC96EBE0F354878BF920E67BFA0742E,"Run 7"" Liner (178mm)",5.47
3353742D96D54521BE96EED15BEA548E,"Drill 12-1/4"" Hole Section (311mm)",11.33
A74B93C78CAE42E998A3AE559AA0F432,"Jet 36"" Casing (914mm)",3.35
7BAD924A0777472D9A50F4C01256A71A,Move In & Rig Up,1.74
E950C97C6C9B4262A0A06E9222F1D750,Run Upper Completion,10.42
67C1FDE7B2B4483E87B7EA005353C6BA,"Run 9-7/8"" Liner (251mm)",8.3
C2D5DCF5F6B541518C42183715E63886,Pull BOP,2.24
F6AED6C0516140FCBBE6C758CEAC677F,"Drill 28"" Hole Section (711mm)",1.57
1BABE01738DD4EF7AD1FD9A369AA9190,"Drill 12-1/4"" Hole Section (311mm)",14.13
0643520408164C0BAC017A4FD2AB4C4D,Workover,17.23
AE8222E964BF4261BE13A9F9431A87B2,Pull BOP,2.66
E36B920A7DEB4B2D96D9287AC9595E17,"Drill 12-1/4"" Hole Section (311mm)",5.9
73BF435F6C564EC390725FAF4F50D3E3,Pull BOP,1.1
B4672CA1121F476E8EADCB335E7A01C3,"Drill 17-1/2"" Hole Section (444.5mm)",3.8
D1780C47B785497F9E4472B2B916658F,Rig Down & Move Out,0.29
FF5A9E0299714949BB7113DE5A45FC58,Well Clean Up,3.96
54023A25026948EE937426EF9CEED755,Move In & Rig Up,0.84
BA9D8F61AF0E477794A8EEC4C3C1F1D7,Kill Well,2.57
D1B10E9ADCBF4C08BE4E1FB44EDB85CD,"Run 22"" Casing (559mm)",1.61
A96AC5B5681C42E182815B2A03321EF7,Run / Test BOP,15.88
B4672CA1121F476E8EADCB335E7A01C3,"Run 13-3/8"" Casing (340mm)",1.34
D1B10E9ADCBF4C08BE4E1FB44EDB85CD,Lower P&A,3.18
48233888832147E5815F36A5378D30AE,Pull BOP,1.68
D1AC8790A3AD4CB9896F774EB0B25888,"Run 9-5/8"" Casing / Tieback (244.5mm)",1.9
FF5A9E0299714949BB7113DE5A45FC58,Plugback,10.83
01A04F50735A480BAE5E1063A930E7E4,Move In & Rig Up,0.24
B6751215EAA9409C98FA097523A21668,Run / Test BOP,7.33
12FF4C6C40C4446C84BF59EF1AED9772,"Run 9-5/8"" x 10-3/4"" Casing (244.5x273mm)",1.58
3C6918BF24DC416F8747B40C3FADAC6D,Install Plug,5.83
F60B551E1EBF446493ADBBF7E06B276D,"Drill 12-1/4"" Hole Section (311mm)",16.25
3ED9DE02F7864AFE90A8ECBCDB6EF93C,"Jet 36"" Casing (914mm)",0.08
570E8D3E150A41109B1E19251B48BCE8,"Drill 28"" Hole Section (711mm)",2.1
6F5B65035EA446E6A523B4112DA7CC18,"Drill 8-1/2"" Hole Section (216mm)",2.98
3CD6C7B1F8534AE489C0D91C0B037CCE,Run Lower Completion,null
2EB98A75BA294750AAD9E7F2956ED965,"Run 13-5/8"" Casing / Tieback (346mm)",2.71
768A75E188C948268079F3BFBEAA5BFC,Move In & Rig Up,2.94
B6751215EAA9409C98FA097523A21668,"Run 13-5/8"" Casing / Tieback (346mm)",3.52
048BBD33673549AA87A1606D5C9506D0,"Drill 28"" Hole Section (711mm)",1.93
CA120329AD6044F6A4A0BCE932258794,"Drill 14-3/4"" x 17-1/2"" Hole Section (375x444.5mm)",3.82
67C1FDE7B2B4483E87B7EA005353C6BA,"Drill 17-1/2"" Hole Section (444.5mm)",16.34
D1AC8790A3AD4CB9896F774EB0B25888,"Drill 8-1/2"" Hole Section (216mm)",5.16
73BF435F6C564EC390725FAF4F50D3E3,"Jet 36"" Casing (914mm)",0.27
AA23FA8702F143CA832D65B410D20B01,"Run 9-7/8"" Casing (251mm)",3.08
F224034A354A421EAA351918E67E8A2E,"Run 9-7/8"" x 10-3/4"" Casing (251x273mm)",3.52
8766467DC774438D9AC41076EF4E2CDD,"Jet 36"" Casing (914mm)",0.35
5DD33CE64CFF4C439FB5DEF09184AA04,Pull BOP,2.78
19C1D60E8C6547969453DACA80DDC64B,Run Upper Completion,null
